symbol,baseCoin,quoteCoin,fundingInterval,launchTime
QUICKUSDT,QUICK,USDT,240,2024-09-10 08:57:01
RADUSDT,RAD,USDT,480,2023-06-08 07:42:54
RAREUSDT,RARE,USDT,240,2023-11-27 06:48:04
RAYDIUMUSDT,RAYDIUM,USDT,240,2024-06-04 09:11:59
RDNTUSDT,RDNT,USDT,480,2023-04-17 07:05:07
REDUSDT,RED,USDT,240,2025-02-26 06:50:52
RENDERUSDT,RENDER,USDT,240,2024-07-26 08:26:47
REQUSDT,REQ,USDT,480,2021-12-06 00:00:00
REXUSDT,REX,USDT,480,2025-01-09 08:47:36
REZUSDT,REZ,USDT,240,2024-05-08 07:53:17
RFCUSDT,RFC,USDT,240,2025-04-14 07:30:29
RIFUSDT,RIF,USDT,240,2023-10-23 06:53:36
RLCUSDT,RLC,USDT,480,2023-03-22 07:08:19
ROAMUSDT,ROAM,USDT,240,2025-03-07 07:40:31
RONINUSDT,RONIN,USDT,240,2025-02-13 07:11:13
ROSEUSDT,ROSE,USDT,480,2022-01-14 06:03:51
RPLUSDT,RPL,USDT,240,2023-03-01 07:32:26
RSRUSDT,RSR,USDT,480,2021-11-30 15:28:21
RSS3USDT,RSS3,USDT,480,2022-02-23 01:54:14
RUNEUSDT,RUNE,USDT,480,2021-11-29 00:00:00
RVNUSDT,RVN,USDT,480,2022-01-06 07:27:47
SAFEUSDT,SAFE,USDT,240,2024-04-29 09:24:49
SAGAUSDT,SAGA,USDT,240,2024-04-09 11:29:14
SANDUSDT,SAND,USDT,480,2021-11-01 00:00:00
SCAUSDT,SCA,USDT,480,2024-03-13 06:17:40
SCRTUSDT,SCRT,USDT,240,2022-03-30 09:50:43
SCRUSDT,SCR,USDT,240,2024-10-08 12:25:58
SCUSDT,SC,USDT,240,2021-11-30 15:25:58
SDUSDT,SD,USDT,480,2024-11-14 07:53:31
SEIUSDT,SEI,USDT,480,2023-08-16 03:28:47
SENDUSDT,SEND,USDT,240,2024-12-13 08:31:47
SERAPHUSDT,SERAPH,USDT,240,2025-03-11 08:16:28
SFPUSDT,SFP,USDT,480,2021-11-26 00:00:00
SHELLUSDT,SHELL,USDT,240,2025-02-17 07:33:43
SHIB1000PERP,SHIB1000,USDC,480,2024-05-10 09:28:29
SHIB1000USDT,SHIB1000,USDT,480,2021-10-20 00:00:00
