symbol,funding_interval_minutes,funding_events_per_day,mean_rate_per_interval,mean_abs_rate_per_interval,std_rate_per_interval,mean_daily_rate,mean_daily_abs_rate,std_daily_rate,max_abs_rate,max_daily_abs_rate,count,positive_count,negative_count,positive_pct,mean_positive,mean_negative,first_date,last_date,max_timestamp,max_rate_value,sharpe_ratio,annual_return
API3USDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,32,32,0,100.0,0.005,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,0.0,11.570174904772411
APTUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,16,16,0,100.0,0.01,0.0,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,0.0,11.570174904772411
ARBPERP,480,3.0,0.006969875,0.0082805,0.005884779450695951,0.020909625,0.024841500000000002,0.017654338352087854,0.01,0.030000000000000002,16,14,2,87.5,0.008714500000000002,-0.0052425,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,1.4071045600563203,7.929942838813386
ARBUSDT,480,3.0,0.008662125,0.008802625,0.002970066191742759,0.025986375000000003,0.026407874999999997,0.008910198575228276,0.01,0.030000000000000002,16,15,1,93.75,0.009314533333333335,-0.001124,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,2.9637807482111516,9.948066634064068
ARCUSDT,240,6.0,0.0085260625,0.0085260625,0.007417499156582577,0.051156375000000004,0.051156375000000004,0.04450499493949546,0.039046000000000004,0.234276,32,32,0,100.0,0.0085260625,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-13 20:00:00+00:00,0.039046000000000004,1.1494524394294865,20.523313980327206
ARKMUSDT,480,3.0,0.009684562499999999,0.009684562499999999,0.00126175,0.0290536875,0.0290536875,0.0037852500000000004,0.01,0.030000000000000002,16,16,0,100.0,0.009684562499999999,0.0,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,7.675500297206261,11.18558512194523
ARKUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,32,32,0,100.0,0.005,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,0.0,11.570174904772411
ARPAUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,16,16,0,100.0,0.01,0.0,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,0.0,11.570174904772411
ARUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,16,16,0,100.0,0.01,0.0,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,0.0,11.570174904772411
ASTRUSDT,480,3.0,0.0037326875000000003,0.012759937500000002,0.018894076876872463,0.0111980625,0.038279812499999996,0.05668223063061739,0.065201,0.195603,16,14,2,87.5,0.009424357142857146,-0.036109,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-13 08:00:00+00:00,-0.065201,0.6753406151119753,4.1717340073729625
ATAUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,16,16,0,100.0,0.01,0.0,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,0.0,11.570174904772411
ATHUSDT,240,6.0,0.00490178125,0.00490178125,0.00038650391095755284,0.0294106875,0.0294106875,0.0023190234657453172,0.005,0.030000000000000002,32,32,0,100.0,0.00490178125,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,12.682358731780932,11.330517538316776
ATOMUSDT,480,3.0,0.008266312500000001,0.0087889375,0.0039122051875082765,0.024798937500000003,0.026366812500000003,0.01173661556252483,0.01,0.030000000000000002,16,15,1,93.75,0.009096133333333332,-0.004181,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,2.246543082163276,9.47268720222192
AUCTIONUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,32,32,0,100.0,0.005,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,0.0,11.570174904772411
AUDIOUSDT,480,3.0,0.0035801250000000004,0.011662375,0.018482909492735896,0.010740375000000003,0.03498712500000001,0.055448728478207684,0.06465800000000001,0.193974,16,15,1,93.75,0.008129333333333336,-0.06465800000000001,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-16 00:00:00+00:00,-0.06465800000000001,0.6309815564797047,3.9978732744446965
AVAAIUSDT,240,6.0,0.012718625,0.012718625,0.012385258570366575,0.07631175000000001,0.07631175000000001,0.07431155142219946,0.052682,0.31609200000000004,32,32,0,100.0,0.012718625,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.052682,1.0269163883611643,32.10563252450118
AVAILUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,16,16,0,100.0,0.01,0.0,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,0.0,11.570174904772411
AVAUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,32,32,0,100.0,0.005,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,0.0,11.570174904772411
AVAXUSDT,480,3.0,0.009061125000000001,0.009061125000000001,0.0024437216119408255,0.027183375000000003,0.027183375000000003,0.0073311648358224775,0.01,0.030000000000000002,16,16,0,100.0,0.009061125000000001,0.0,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,3.7079203112680146,10.429357911349534
AVLUSDT,120,12.0,0.0025000000000000005,0.0025000000000000005,3.414915856324525e-19,0.03,0.03,5.46386537011924e-18,0.0025,0.030000000000000002,64,64,0,100.0,0.0025000000000000005,0.0,2025-05-10 18:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 18:00:00+00:00,0.0025,5490618448262626.0,11.570174904772411
AXLUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,32,32,0,100.0,0.005,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,0.0,11.570174904772411
AXSUSDT,480,3.0,-0.0046968125,0.0146816875,0.022062527800832343,-0.0140904375,0.0440450625,0.06618758340249702,0.060808,0.182424,16,11,5,68.75,0.007261727272727272,-0.0310056,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,-0.060808,0.6654580849727525,-5.013339551482343
