symbol,funding_interval_minutes,funding_events_per_day,mean_rate_per_interval,mean_abs_rate_per_interval,std_rate_per_interval,mean_daily_rate,mean_daily_abs_rate,std_daily_rate,max_abs_rate,count,positive_count,negative_count,positive_pct,mean_positive,mean_negative,first_date,last_date,sharpe_ratio,annual_return
ARCUSDT,240,6.0,-0.00506925,0.020863564070351753,0.0850607350614934,-0.03041549999999999,0.12518138442211055,0.5103644103689604,0.75,796,734,62,92.21105527638191,0.008564219346049045,-0.16647193548387093,2025-01-03 12:00:00+00:00,2025-05-16 00:00:00+00:00,0.24527843611119457,-10.509119660529198
ARKMUSDT,480,3.0,0.00889586635638298,0.012502608377659574,0.024266520373072132,0.026687599069148936,0.03750782513297872,0.0727995611192164,0.75,1504,1322,182,87.89893617021278,0.012172203479576399,-0.014902582417582416,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.5152204842492936,10.229761326667841
ARKUSDT,240,6.0,-0.023828201585503958,0.04793707021517554,0.18008864833589125,-0.14296920951302375,0.28762242129105325,1.080531890015347,2.0,1766,1394,372,78.93544733861835,0.015271256097560977,-0.17034606182795697,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.26618596262528454,-40.679248736566386
ARPAUSDT,480,3.0,0.00931082180851064,0.02007767420212766,0.06090680434362097,0.027932465425531915,0.060233022606382976,0.18272041303086287,1.5,1504,1455,49,96.74202127659575,0.0151891058419244,-0.16523822448979592,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.3296458321611235,10.731621394651736
ARUSDT,480,3.0,0.013411598404255322,0.014743442819148937,0.020207198051752546,0.04023479521276596,0.04423032845744681,0.060621594155257634,0.20859300000000003,1504,1386,118,92.15425531914893,0.015276039682539681,-0.008487686440677968,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.7296134170303862,15.815412557027052
ASTRUSDT,480,3.0,0.014343684840425534,0.018331691489361708,0.02613931126331441,0.0430310545212766,0.0549950744680851,0.07841793378994322,0.24288600000000002,1504,1343,161,89.29521276595744,0.018296264333581534,-0.018627211180124226,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.7013073644021209,17.003020613546038
ATAUSDT,480,3.0,0.01027354521276596,0.017697235372340425,0.08337050509476224,0.03082063563829786,0.05309170611702128,0.25011151528428666,3.0,1504,1449,55,96.34308510638297,0.014516236714975846,-0.1015020909090909,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.2122721381167722,11.904762389082402
ATHUSDT,240,6.0,-0.015199292639138244,0.02189278096947935,0.037450991354423584,-0.09119575583482945,0.13135668581687612,0.22470594812654152,0.459812,1114,500,614,44.88330341113106,0.007456546000000003,-0.03364867263843648,2024-06-13 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.5845714673423045,-28.324154665183077
ATOMUSDT,480,3.0,0.0069733390957446816,0.012910130319148939,0.01718379665887258,0.02092001728723404,0.0387303909574468,0.05155138997661775,0.148654,1504,1158,346,76.99468085106383,0.012912235751295336,-0.012903083815028901,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.7512967346760933,7.934036042586801
AUCTIONUSDT,240,6.0,-0.0032585483870967756,0.02352416661124044,0.10132370186688248,-0.01955129032258065,0.14114499966744262,0.6079422112012949,2.0,3007,2673,334,88.89258397073495,0.011398936401047511,-0.1205623113772455,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.23216844803149933,-6.888192774678936
AUDIOUSDT,480,3.0,0.007233433510638299,0.029712824468085108,0.0711915049491374,0.021700300531914893,0.08913847340425532,0.2135745148474122,1.0639610000000002,1504,1341,163,89.1622340425532,0.020718557792692025,-0.10370860122699385,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.4173647472309142,8.241808308223142
AVAAIUSDT,240,6.0,0.006865215605749488,0.01144735112936345,0.023055363466775045,0.04119129363449691,0.06868410677618068,0.13833218080065035,0.305045,487,472,15,96.91991786447639,0.009447266949152544,-0.07438333333333334,2025-01-08 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.4965157520010541,16.22029106393519
AVAILUSDT,480,3.0,-0.006205044943820225,0.025461393258426966,0.1073608100784762,-0.018615134831460666,0.0763841797752809,0.32208243023542865,1.766904,890,791,99,88.87640449438202,0.010833217446270546,-0.14233904040404044,2024-07-23 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.23715723865920688,-6.569427626048185
AVAUSDT,240,6.0,0.004419035626535627,0.006238015970515971,0.007032472927321793,0.026514213759213756,0.037428095823095815,0.04219483756393075,0.091462,814,783,31,96.1916461916462,0.005539489144316731,-0.023881451612903226,2024-12-16 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.8870302146888778,10.160042328076923
AVAXUSDT,480,3.0,0.007668411569148937,0.013477572473404257,0.018553405683967513,0.023005234707446812,0.04043271742021277,0.05566021705190254,0.140524,1504,1101,403,73.20478723404256,0.014443033605812897,-0.010839923076923079,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.7264204051254364,8.758479082736148
AVLUSDT,120,12.0,-0.05859723758099353,0.06325446868250541,0.2798327629011256,-0.7031668509719222,0.7590536241900648,3.3579931548135065,2.0,926,802,124,86.60907127429806,0.0026886508728179554,-0.45497854838709667,2025-02-20 12:00:00+00:00,2025-05-16 00:00:00+00:00,0.2260438271299039,-92.38937681421041
AXLUSDT,240,6.0,0.006182891211146839,0.0175065192926045,0.046299570602846826,0.037097347266881034,0.10503911575562702,0.277797423617081,0.823518,1866,1623,243,86.97749196141478,0.013618126925446703,-0.04347713991769547,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.3781140745942054,14.497202895041127
AXSUSDT,480,3.0,-0.002998110372340425,0.017307303191489362,0.02763656301469586,-0.008994331117021276,0.05192190957446807,0.08290968904408758,0.546388,1504,797,707,52.99202127659575,0.013501271016311166,-0.021597837340876946,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.626246584363118,-3.2297704572977426
B3USDT,120,12.0,-0.021070913591359135,0.025423885688568848,0.10773740084850165,-0.2528509630963096,0.3050866282628263,1.29284881018202,1.0,1111,970,141,87.3087308730873,0.002492861855670104,-0.18317631914893617,2025-02-12 12:00:00+00:00,2025-05-16 00:00:00+00:00,0.23598012842651972,-60.310153006387814
BABYUSDT,120,12.0,-0.025462632478632476,0.029710371794871796,0.1205199131067059,-0.3055515897435898,0.3565244615384615,1.4462389572804706,0.8,468,357,111,76.28205128205127,0.0027842324929971993,-0.11631065765765765,2025-04-03 12:00:00+00:00,2025-05-16 00:00:00+00:00,0.24651836388702697,-67.2730285697986
